Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Ngrayun,62.5,,6.38,361,102.1
Slahung,55,,5.61,569,98.6
Bungkal,39.6,,4.05,673,96.3
Sambit,41.3,,4.22,683,98.5
Sawoo,63.2,,6.46,492,99.1
Sooko,24.7,,2.53,464,97
Pudak,9.6,,0.98,148,99.5
Pulung,53.5,,5.47,402,98
Mlarak,36.2,,3.69,1127,97.9
Siman,48.6,,4.96,1096,99.3
Jetis,32.2,,3.29,1374,98.9
Balong,48.7,,4.97,815,96.4
Kauman,47.7,,4.87,1422,98.5
Jambon,48.3,,4.94,810,99.7
Badegan,34.6,,3.53,595,100
Sampung,40.9,,4.17,495,97.9
Sukorejo,59.7,,6.1,1022,98.1
Ponorogo,77.3,,7.9,3358,98.6
Babadan,71,,7.25,1599,98.6
Jenangan,62.7,,6.4,920,98.2
Ngebel,21.8,,2.23,349,99.9
Ponorogo,979,,100,690,98.6
,,,,,
Catatan,,,,,
Jumlah penduuduk menggunakan data registrasi Kabupaten Ponorogo semester 2/<i>Population using registration data of Ponorogo Regency for the second semester</i>Penduduk berstatus WNI/<i>Only Indonesian Citizen</i>,,,,,
