Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Ngrayun,61.1,,6.36,353,
Slahung,54,,5.63,559,
Bungkal,38.9,,4.05,660,
Sambit,40.6,,4.23,671,
Sawoo,62,,6.46,483,
Sooko,24.3,,2.54,456,
Pudak,9.4,,0.98,145,
Pulung,52.5,,5.48,394,
Mlarak,35.5,,3.7,1105,
Siman,47.2,,4.92,1066,
Jetis,31.6,,3.3,1348,
Balong,47.8,,4.98,800,
Kauman,46.9,,4.88,1397,
Jambon,47.2,,4.91,791,
Badegan,33.9,,3.53,584,
Sampung,40.1,,4.18,486,
Sukorejo,58.4,,6.08,1000,
Ponorogo,75.8,,7.9,3295,
Babadan,69.6,,7.26,1568,
Jenangan,61.3,,6.39,900,
Ngebel,21.5,,2.24,343,
Ponorogo,959.5,,100,676,99.4
,,,,,
Catatan,,,,,
NA ,,,,,
